,name,Transcript,English Translation,LID_tags,Language,Type of code-switching
0,train_337_0.wav,Fridge repair ho gaya! Start kar raha hu.,Fridge repaired! Starting.,"['EN', 'EN', 'EN', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'EN', 'OTHER']",CSW,I
1,train_91_2.wav,Mendhak kaam aaega?,Will the frog be useful?,"['HI', 'HI', 'HI', 'OTHER']",HI,-1
2,train_213_4.wav,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.,"Yes! When Sahil comes to know about this, he will definitely drag you to the court for divorce.","['HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'EN', 'EN', 'HI', 'HI', 'HI', 'EN', 'HI', 'EN', 'EN', 'HI', 'HI', 'OTHER']",CSW,I
3,train_249_3.wav,Aur Sahil kal wapas aa gaya toh?,And if Sahil came back tomorrow?,"['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",HI,-1
4,train_193_0.wav,"Well, he was a darling.","Well, he was a darling.","['EN', 'OTHER', 'EN', 'EN', 'EN', 'EN', 'OTHER']",EN,-1
5,train_272_5.wav,Mention not mummy ji!,Mention not mummy ji!,"['EN', 'EN', 'HI', 'HI', 'OTHER']",CSW,I
6,train_48_3.wav,"Breakfast to mai bhi laai hu. Aap ko du, biryaani!","Breakfast to mai bhi laai hu. Aap ko du, biryaani!","['EN', 'EN', 'HI', 'HI', 'HI', 'EN', 'OTHER', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'OTHER']",CSW,I
7,train_356_1.wav,Nahin Mummy ji Nahin Aisa Lagta Hai yah Bimari Bhola Bhala Bankar aapke Sharir Mein Ghush Jaati Hai aur FIR Dhire Dhire sari organs Mein kabja Kar Leti Hai,"No mummy, no, it seems that this disease innocently enters your body and then gradually takes over all the organs.","['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI']",CSW,I
8,train_326_8.wav,Hahaha!,Hahaha!,"['EN', 'OTHER']",EN,-1
9,train_211_6.wav,"Haan Soniya, it's dad... Vo jaa rahe hai duniya chod ke...","Yes Sonia, it's dad... he is leaving this world...","['HI', 'HI', 'OTHER', 'EN', 'EN', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I
10,train_313_1.wav,kaun sa?,Which one?,"['HI', 'EN', 'OTHER']",CSW,-1
11,train_335_2.wav,Okay 7 minutes.,Okay 7 minutes.,"['EN', 'EN', 'EN', 'OTHER']",EN,-1
12,train_237_5.wav,kyunki wo sasta padta na daddy ji,"Because it was cheaper, daddy?","['HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI']",CSW,I
13,train_418_2.wav,Nice.,Nice.,"['EN', 'OTHER']",EN,-1
14,train_93_0.wav,Mom rosesh Yahan Hai aap log? Do you know something? Fluorescent hoarding dekhne Se Aankhen damage ho sakti hai?,Mother Rosesh are you guys here? Do You Know Something? Can looking at fluorescent hoardings damage eyes?,"['EN', 'HI', 'HI', 'HI', 'HI', 'EN', 'OTHER', 'EN', 'EN', 'EN', 'EN', 'OTHER', 'EN', 'EN', 'HI', 'EN', 'HI', 'EN', 'EN', 'HI', 'HI', 'OTHER']",CSW,"A, I"
15,train_3_1.wav,Meri kavita mein kya boora tha?,What was bad about my poem?,"['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",HI,-1
16,train_148_3.wav,Sudhanshu meri passport painting nahi bana raha Monisha!,Sudhanshu is not making my passport painting Monisha!,"['HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I
17,train_292_0.wav,"and im depending on you huh sahil, tum iss ghar ka dhyan rakhoge, me nhi chaahati jab me wapas aau yahan kabutar udd rhe ho","And I am depending on you Sahil, you will take care of this house, I don't want pigeons flying here when I come back","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN']",CSW,A
