utt_id,file_id,wav,start,end,speaker,lang,condition,text,speaker_raw,speaker_id,has_discourse_marker,discourse_marker_type,n_discourse_markers,has_repetition,n_repetitions,has_discourse_marker_near_switch,switch_direction,first_switch_direction,n_switches,switch_type,switch_direction_class,interaction_id_raw,speaker_raw_ann,dialog_act,turn_length_words,interaction_id,audience_l2_ratio,audience_proficiency_proxy,gender,age,age_bucket,nationality,dialogue_act
train_337_0,train_337_0,data/masac_wav16k_clips/train/train_1/audios/train_337_0.wav,0.0,-1.0,DUSHYANT,CS,code_switched,Fridge repair ho gaya! Start kar raha hu.,DUSHYANT,DUSHYANT,True,fillers,2,False,0,False,"EN→HI,HI→EN,EN→HI,HI→EN",EN→HI,4,alternational,L2→L1,train_337,DUSHYANT,I,8,train_337,0.8333333333333334,high_l2,male,,unknown,unknown,i
train_91_2,train_91_2,data/masac_wav16k_clips/train/train_1/audios/train_91_2.wav,0.0,-1.0,SAHIL,HI,monolingual_HI,Mendhak kaam aaega?,SAHIL,SAHIL,False,,0,False,0,False,,,0,,,train_91,SAHIL,-1,3,train_91,0.3333333333333333,mid_l2,male,,unknown,unknown,-1
train_213_4,train_213_4,data/masac_wav16k_clips/train/train_1/audios/train_213_4.wav,0.0,-1.0,INDRAVARDHAN,CS,code_switched,haan! jab sahil ko pta chalega tab wo tumhe court me to ghaseet ke le hi jaega na divorce ke liye.,INDRAVARDHAN,INDRAVARDHAN,True,fillers,2,False,0,False,"HI→EN,EN→HI,HI→EN,EN→HI,HI→EN,EN→HI",HI→EN,6,alternational,L1→L2,train_213,INDRAVARDHAN,I,21,train_213,1.0,high_l2,male,,unknown,unknown,-1
train_249_3,train_249_3,data/masac_wav16k_clips/train/train_1/audios/train_249_3.wav,0.0,-1.0,MAYA,HI,monolingual_HI,Aur Sahil kal wapas aa gaya toh?,MAYA,MAYA,True,fillers,4,False,0,False,,,0,,,train_249,MAYA,-1,7,train_249,0.8333333333333334,high_l2,female,,unknown,unknown,i
train_193_0,train_193_0,data/masac_wav16k_clips/train/train_1/audios/train_193_0.wav,0.0,-1.0,MAYA,EN,monolingual_EN,"Well, he was a darling.",MAYA,MAYA,True,connectors,1,False,0,False,,,0,,,train_193,MAYA,-1,5,train_193,0.6666666666666666,high_l2,female,,unknown,unknown,i
train_272_5,train_272_5,data/masac_wav16k_clips/train/train_1/audios/train_272_5.wav,0.0,-1.0,MONISHA,CS,code_switched,Mention not mummy ji!,MONISHA,MONISHA,True,fillers,1,False,0,False,EN→HI,EN→HI,1,insertional,L2→L1,train_272,MONISHA,I,4,train_272,1.0,high_l2,female,,unknown,unknown,-1
train_48_3,train_48_3,data/masac_wav16k_clips/train/train_1/audios/train_48_3.wav,0.0,-1.0,MONISHA,CS,code_switched,"Breakfast to mai bhi laai hu. Aap ko du, biryaani!",MONISHA,MONISHA,True,connectors,1,False,0,False,"EN→HI,HI→EN,EN→HI",EN→HI,3,alternational,L2→L1,train_48,MONISHA,I,10,train_48,1.0,high_l2,female,,unknown,unknown,-1
train_356_1,train_356_1,data/masac_wav16k_clips/train/train_1/audios/train_356_1.wav,0.0,-1.0,MONISHA,CS,code_switched,Nahin Mummy ji Nahin Aisa Lagta Hai yah Bimari Bhola Bhala Bankar aapke Sharir Mein Ghush Jaati Hai aur FIR Dhire Dhire sari organs Mein kabja Kar Leti Hai,MONISHA,MONISHA,True,fillers,4,True,2,False,"HI→EN,EN→HI",HI→EN,2,insertional,L1→L2,train_356,MONISHA,I,29,train_356,1.0,high_l2,female,,unknown,unknown,-1
train_326_8,train_326_8,data/masac_wav16k_clips/train/train_1/audios/train_326_8.wav,0.0,-1.0,SIDDHARTH,EN,monolingual_EN,Hahaha!,SIDDHARTH,SIDDHARTH,True,fillers,1,False,0,False,,,0,,,train_326,SIDDHARTH,-1,1,train_326,0.6923076923076923,high_l2,male,,unknown,unknown,-1
train_211_6,train_211_6,data/masac_wav16k_clips/train/train_1/audios/train_211_6.wav,0.0,-1.0,ROSESH,CS,code_switched,"Haan Soniya, it's dad... Vo jaa rahe hai duniya chod ke...",ROSESH,ROSESH,True,fillers,2,False,0,False,"HI→EN,EN→HI",HI→EN,2,insertional,L1→L2,train_211,ROSESH,I,11,train_211,0.7142857142857143,high_l2,male,,unknown,unknown,-1
train_313_1,train_313_1,data/masac_wav16k_clips/train/train_1/audios/train_313_1.wav,0.0,-1.0,MONISHA,CS,code_switched,kaun sa?,MONISHA,MONISHA,False,,0,False,0,False,HI→EN,HI→EN,1,insertional,L1→L2,train_313,MONISHA,-1,2,train_313,1.0,high_l2,female,,unknown,unknown,-1
train_335_2,train_335_2,data/masac_wav16k_clips/train/train_1/audios/train_335_2.wav,0.0,-1.0,INDRAVARDHAN,EN,monolingual_EN,Okay 7 minutes.,INDRAVARDHAN,INDRAVARDHAN,True,connectors,2,False,0,False,,,0,,,train_335,INDRAVARDHAN,-1,3,train_335,1.0,high_l2,male,,unknown,unknown,-1
train_237_5,train_237_5,data/masac_wav16k_clips/train/train_1/audios/train_237_5.wav,0.0,-1.0,MONISHA,CS,code_switched,kyunki wo sasta padta na daddy ji,MONISHA,MONISHA,True,connectors,1,False,0,False,"HI→EN,EN→HI",HI→EN,2,insertional,L1→L2,train_237,MONISHA,I,7,train_237,1.0,high_l2,female,,unknown,unknown,-1
train_418_2,train_418_2,data/masac_wav16k_clips/train/train_1/audios/train_418_2.wav,0.0,-1.0,SAHIL,EN,monolingual_EN,Nice.,SAHIL,SAHIL,False,,0,False,0,False,,,0,,,train_418,SAHIL,-1,1,train_418,0.6666666666666666,high_l2,male,,unknown,unknown,-1
train_93_0,train_93_0,data/masac_wav16k_clips/train/train_1/audios/train_93_0.wav,0.0,-1.0,DUSHYANT,CS,code_switched,Mom rosesh Yahan Hai aap log? Do you know something? Fluorescent hoarding dekhne Se Aankhen damage ho sakti hai?,DUSHYANT,DUSHYANT,True,fillers,2,False,0,False,"EN→HI,HI→EN,EN→HI,HI→EN,EN→HI,HI→EN,EN→HI",EN→HI,7,alternational,L2→L1,train_93,DUSHYANT,"A, I",19,train_93,1.0,high_l2,male,,unknown,unknown,i
train_3_1,train_3_1,data/masac_wav16k_clips/train/train_1/audios/train_3_1.wav,0.0,-1.0,ROSESH,HI,monolingual_HI,Meri kavita mein kya boora tha?,ROSESH,ROSESH,True,fillers,2,False,0,False,,,0,,,train_3,ROSESH,-1,6,train_3,0.6666666666666666,high_l2,male,,unknown,unknown,-1
train_148_3,train_148_3,data/masac_wav16k_clips/train/train_1/audios/train_148_3.wav,0.0,-1.0,MAYA,CS,code_switched,Sudhanshu meri passport painting nahi bana raha Monisha!,MAYA,MAYA,True,fillers,2,False,0,False,"HI→EN,EN→HI",HI→EN,2,insertional,L1→L2,train_148,MAYA,I,8,train_148,0.75,high_l2,female,,unknown,unknown,i
train_292_0,train_292_0,data/masac_wav16k_clips/train/train_1/audios/train_292_0.wav,0.0,-1.0,MAYA,CS,code_switched,"and im depending on you huh sahil, tum iss ghar ka dhyan rakhoge, me nhi chaahati jab me wapas aau yahan kabutar udd rhe ho",MAYA,MAYA,True,fillers,4,False,0,False,"EN→HI,HI→EN,EN→HI,HI→EN,EN→HI,HI→EN",EN→HI,6,alternational,L2→L1,train_292,MAYA,A,25,train_292,1.0,high_l2,female,,unknown,unknown,i
train_80_8,train_80_8,data/masac_wav16k_clips/train/train_1/audios/train_80_8.wav,0.0,-1.0,INDRAVARDHAN,HI,monolingual_HI,Waah giragit mausee waah.,INDRAVARDHAN,INDRAVARDHAN,True,fillers,1,True,1,False,,,0,,,train_80,INDRAVARDHAN,-1,4,train_80,0.7777777777777778,high_l2,male,,unknown,unknown,-1
train_254_4,train_254_4,data/masac_wav16k_clips/train/train_1/audios/train_254_4.wav,0.0,-1.0,INDRAVARDHAN,CS,code_switched,"Haan Maya, aur sunday ke rooj to 2 ribbon bhi baandhate the uss mein.",INDRAVARDHAN,INDRAVARDHAN,True,connectors,2,False,0,False,"HI→EN,EN→HI,HI→EN,EN→HI,HI→EN,EN→HI",HI→EN,6,alternational,L1→L2,train_254,INDRAVARDHAN,I,14,train_254,0.8,high_l2,male,,unknown,unknown,-1
train_418_0,train_418_0,data/masac_wav16k_clips/train/train_1/audios/train_418_0.wav,0.0,-1.0,SAHIL,CS,code_switched,"Mein aapke wo novel khareedi thi - Man, Woman and therefore.",SAHIL,SAHIL,True,fillers,1,False,0,False,"HI→EN,EN→HI,HI→EN",HI→EN,3,alternational,L1→L2,train_418,SAHIL,I,11,train_418,0.6666666666666666,high_l2,male,,unknown,unknown,-1
train_148_1,train_148_1,data/masac_wav16k_clips/train/train_1/audios/train_148_1.wav,0.0,-1.0,SUDHANSHU,HI,monolingual_HI,Kam se kam 7 din...,SUDHANSHU,SUDHANSHU,False,,0,True,1,False,,,0,,,train_148,SUDHANSHU,-1,5,train_148,0.75,high_l2,male,,unknown,unknown,-1
train_370_0,train_370_0,data/masac_wav16k_clips/train/train_1/audios/train_370_0.wav,0.0,-1.0,INDRAVARDHAN,CS,code_switched,"Tu ek kaam kar, ye mera naya mobile phone le or aadhi raat ko mujhe isse romantic sms bhejna... You know chaand, taare, phool, bhag, bagiche, kuch aisa bakwaas.",INDRAVARDHAN,INDRAVARDHAN,True,fillers,2,False,0,False,"HI→EN,EN→HI,HI→EN,EN→HI,HI→EN,EN→HI,HI→EN,EN→HI,HI→EN,EN→HI",HI→EN,10,alternational,L1→L2,train_370,INDRAVARDHAN,I,29,train_370,1.0,high_l2,male,,unknown,unknown,-1
train_211_4,train_211_4,data/masac_wav16k_clips/train/train_1/audios/train_211_4.wav,0.0,-1.0,SAHIL,CS,code_switched,Dad dad dad Pani pijiye aap!,SAHIL,SAHIL,False,,0,True,1,False,EN→HI,EN→HI,1,insertional,L2→L1,train_211,SAHIL,I,6,train_211,0.7142857142857143,high_l2,male,,unknown,unknown,-1
train_335_0,train_335_0,data/masac_wav16k_clips/train/train_1/audios/train_335_0.wav,0.0,-1.0,INDRAVARDHAN,CS,code_switched,10 minute aur sone do.,INDRAVARDHAN,INDRAVARDHAN,True,connectors,1,False,0,False,"EN→HI,HI→EN",EN→HI,2,insertional,L2→L1,train_335,INDRAVARDHAN,-1,5,train_335,1.0,high_l2,male,,unknown,unknown,-1
train_10_4,train_10_4,data/masac_wav16k_clips/train/train_1/audios/train_10_4.wav,0.0,-1.0,MAYA,CS,code_switched,"Monisha beta, ye gobi drawer mein kaise pahuchi?",MAYA,MAYA,True,fillers,2,False,0,False,"HI→EN,EN→HI,HI→EN,EN→HI",HI→EN,4,alternational,L1→L2,train_10,MAYA,I,8,train_10,1.0,high_l2,female,,unknown,unknown,i
train_193_2,train_193_2,data/masac_wav16k_clips/train/train_1/audios/train_193_2.wav,0.0,-1.0,MAYA,CS,code_switched,"Ye thoda sa chamboo tha, bondoo tha, down market tha, dha tha, but he was cute!",MAYA,MAYA,False,,0,True,1,False,"HI→EN,EN→HI,HI→EN,EN→HI,HI→EN",HI→EN,5,alternational,L1→L2,train_193,MAYA,"I, A",16,train_193,0.6666666666666666,high_l2,female,,unknown,unknown,i
