,Conversation,name,Speaker,Transcript,English Translation,LID_tags,Language from LID tool,Type of code-switching,Length of turn,Direction of code-switches,Number of code-switches,Start of code-switches,Length of code-switched segments
1,test_100,test_100_0.wav,MONISHA,"Daddy ji, bataiye na, aap dono ki shaadi actually hui kaisi thi.","Daddy ji, tell me, how was your actual marriage?","['EN', 'HI', 'OTHER', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,12,"['HI > EN', 'EN > HI', 'HI > EN']",3,"[1, 8, 9]","[7, 1, 3]"
2,test_100,test_100_1.wav,INDRAVARDHAN,"Well, mai 22 saal ka tha aur Maya 20 saal ki.","Well, May was 22 years old and Maya was 20 years old.","['EN', 'OTHER', 'EN', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'OTHER']",CSW,O,11,"['HI > EN', 'EN > HI', 'HI > EN']",3,"[3, 8, 9]","[5, 1, 2]"
3,test_100,test_100_2.wav,MAYA,Hehe.,Hehe.,"['HI', 'OTHER']",HI,-1,1,-1,0,-1,-1
4,test_100,test_100_3.wav,INDRAVARDHAN,"And I was tall, goora chitta, debonair, handsome.., aur Maya, kapade achchhe pahanti thi.","Andi Wastall, Goora Chitta, Debonair, Handsome.., and Maya, used to wear nice clothes.","['EN', 'EN', 'EN', 'EN', 'OTHER', 'HI', 'HI', 'OTHER', 'HI', 'OTHER', 'EN', 'OTHER', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,"I, A",14,"['HI > EN', 'EN > HI', 'HI > EN']",3,"[4, 7, 8]","[3, 1, 6]"
5,test_101,test_101_2.wav,MAYA,Kaun hai aap?,Who are you?,"['HI', 'HI', 'HI', 'OTHER']",HI,-1,3,-1,0,-1,-1
6,test_101,test_101_3.wav,INDRAVARDHAN,"Maya, ye hai Purush Adhikaar Sameeti ke sanchaalak, Shri Bajirao Phadke!","Maya, this is the Director of Men's Rights Committee, Shri Bajirao Phadke!","['HI', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'HI', 'HI', 'OTHER']",CSW,-1,11,-1,0,-1,-1
7,test_101,test_101_4.wav,MAYA,"Purush Adhikaar Sameeti, Indravardhan! Huh!","Men's Rights Committee, Indravardhan! Huh!","['HI', 'HI', 'HI', 'OTHER', 'HI', 'OTHER', 'EN', 'OTHER']",CSW,-1,5,-1,0,-1,-1
8,test_104,test_104_0.wav,SAHIL,"just a minute rosesh, just shut up. and mom aap bhi, ye swadamini ki bhavishyavani pe yakeen karti hai?","Just a minute Rose, just shut up. And mother, do you also believe in Swadmini's prediction?","['EN', 'EN', 'EN', 'EN', 'OTHER', 'EN', 'EN', 'EN', 'OTHER', 'EN', 'EN', 'HI', 'HI', 'OTHER', 'EN', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER']",CSW,I,19,"['HI > EN', 'EN > HI', 'HI > EN']",3,"[9, 11, 12]","[2, 1, 7]"
9,test_104,test_104_1.wav,MAYA,"Uski bhavishyavani aajtak kabhi bhi galat nhi hui, iska to mujhe bhi experience hai. Jab me rosesh ki bhavishyavani re-confirm karane gyi thi na to mene use tumhara photograph dikhaya. Or dekhte hi usne kaha, doctor hai, bhai beheno me sabse bada hai or biwi useless hai.","His predictions have never been wrong till date, I have also experienced that. When I wanted to re-confirm Rosesh's future, I used it to show you your photograph. Or let us see what he said, he is a doctor, he is the eldest among the brothers and sisters or the wife is useless.","['HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'HI', 'OTHER', 'HI', 'EN', 'HI', 'HI', 'EN', 'HI', 'OTHER', 'EN', 'EN', 'HI', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'EN', 'EN', 'HI', 'HI', 'HI', 'EN', 'HI', 'OTHER', 'EN', 'HI', 'EN', 'HI', 'HI', 'OTHER', 'EN', 'HI', 'OTHER', 'HI', 'HI', 'EN', 'HI', 'HI', 'HI', 'EN', 'HI', 'EN', 'HI', 'OTHER']",CSW,I,47,"['EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN', 'EN > HI', 'HI > EN']",24,"[9, 10, 12, 13, 14, 16, 19, 20, 23, 25, 28, 29, 30, 31, 32, 33, 35, 36, 39, 40, 43, 44, 45, 46]","[1, 2, 1, 1, 2, 3, 1, 3, 2, 3, 1, 1, 1, 1, 1, 2, 1, 3, 1, 3, 1, 1, 1, 1]"
10,test_104,test_104_2.wav,MONISHA,"Haila, mummy ji","Haila, mummy ji","['HI', 'OTHER', 'HI', 'HI']",HI,-1,3,-1,0,-1,-1
