success,formula,params,pvalues,aic,bic,n,feature,model_type
True,F0msemax ~ is_l1_to_l2 + has_discourse_marker + has_repetition + C(gender) + C(age_bucket) + C(nationality) + is_l1_to_l2:has_discourse_marker + is_l1_to_l2:C(gender) + is_l1_to_l2:C(age_bucket) + is_l1_to_l2:C(nationality),"{'Intercept': 318.17155210084707, 'has_discourse_marker[T.True]': 37.623427383868545, 'has_repetition[T.True]': 40.39015368860292, 'C(gender)[T.male]': -406.21001057752983, 'C(age_bucket)[T.25+]': -32.55738189676643, 'C(age_bucket)[T.<19]': 20.31535358087673, 'C(nationality)[T.singaporean]': 311.57474722401037, 'is_l1_to_l2': 30.893859668182433, 'is_l1_to_l2:has_discourse_marker[T.True]': -8.556593658446353, 'is_l1_to_l2:C(gender)[T.male]': 58.36013568429848, 'is_l1_to_l2:C(age_bucket)[T.25+]': -57.18695131398958, 'is_l1_to_l2:C(age_bucket)[T.<19]': 82.34585844171667, 'is_l1_to_l2:C(nationality)[T.singaporean]': -108.78539029927714}","{'Intercept': 1.7022351981676867e-61, 'has_discourse_marker[T.True]': 0.00035219445190794196, 'has_repetition[T.True]': 4.3913475627898356e-10, 'C(gender)[T.male]': 0.0, 'C(age_bucket)[T.25+]': 0.14521748956874225, 'C(age_bucket)[T.<19]': 0.8521931552466416, 'C(nationality)[T.singaporean]': 1.1678201396637191e-63, 'is_l1_to_l2': 0.16506948355351583, 'is_l1_to_l2:has_discourse_marker[T.True]': 0.5223461707466912, 'is_l1_to_l2:C(gender)[T.male]': 1.0712295104060722e-05, 'is_l1_to_l2:C(age_bucket)[T.25+]': 0.027590853581836928, 'is_l1_to_l2:C(age_bucket)[T.<19]': 0.5606259046260781, 'is_l1_to_l2:C(nationality)[T.singaporean]': 4.928242803642575e-07}",468751.1736750081,468859.3159811011,30292,F0msemax,cs_directionality
True,F0tiltmin ~ is_l1_to_l2 + has_discourse_marker + has_repetition + C(gender) + C(age_bucket) + C(nationality) + is_l1_to_l2:has_discourse_marker + is_l1_to_l2:C(gender) + is_l1_to_l2:C(age_bucket) + is_l1_to_l2:C(nationality),"{'Intercept': -279.38559823413595, 'has_discourse_marker[T.True]': -27.18073561784778, 'has_repetition[T.True]': 8.792073228213658, 'C(gender)[T.male]': 6.725403391512396, 'C(age_bucket)[T.25+]': 140.4501014708032, 'C(age_bucket)[T.<19]': 700.8563202083012, 'C(nationality)[T.singaporean]': 178.6428242885931, 'is_l1_to_l2': -51.898277078978055, 'is_l1_to_l2:has_discourse_marker[T.True]': 36.747072948426414, 'is_l1_to_l2:C(gender)[T.male]': 91.02329056993543, 'is_l1_to_l2:C(age_bucket)[T.25+]': -49.55787896496688, 'is_l1_to_l2:C(age_bucket)[T.<19]': -13.080801062434787, 'is_l1_to_l2:C(nationality)[T.singaporean]': 35.07434313715539}","{'Intercept': 3.4363806248100034e-48, 'has_discourse_marker[T.True]': 0.009580451108452546, 'has_repetition[T.True]': 0.172804403012358, 'C(gender)[T.male]': 0.5183478494322957, 'C(age_bucket)[T.25+]': 2.9136163766265666e-10, 'C(age_bucket)[T.<19]': 1.1364221170620934e-10, 'C(nationality)[T.singaporean]': 2.8551493756362997e-22, 'is_l1_to_l2': 0.01928612513201987, 'is_l1_to_l2:has_discourse_marker[T.True]': 0.005840412383107542, 'is_l1_to_l2:C(gender)[T.male]': 5.6584097925049134e-12, 'is_l1_to_l2:C(age_bucket)[T.25+]': 0.0554042775727586, 'is_l1_to_l2:C(age_bucket)[T.<19]': 0.9260991946199131, 'is_l1_to_l2:C(nationality)[T.singaporean]': 0.10367186787424823}",468544.66606326064,468652.80836935365,30292,F0tiltmin,cs_directionality
True,F0mseavg ~ is_l1_to_l2 + has_discourse_marker + has_repetition + C(gender) + C(age_bucket) + C(nationality) + is_l1_to_l2:has_discourse_marker + is_l1_to_l2:C(gender) + is_l1_to_l2:C(age_bucket) + is_l1_to_l2:C(nationality),"{'Intercept': 267.03817108281464, 'has_discourse_marker[T.True]': 15.520012939227225, 'has_repetition[T.True]': 31.935386252554586, 'C(gender)[T.male]': -361.7442513436491, 'C(age_bucket)[T.25+]': -16.07081387267298, 'C(age_bucket)[T.<19]': 166.52346782010386, 'C(nationality)[T.singaporean]': 238.58015554150367, 'is_l1_to_l2': 5.208912964489846, 'is_l1_to_l2:has_discourse_marker[T.True]': 4.786001078311012, 'is_l1_to_l2:C(gender)[T.male]': 60.1314806798045, 'is_l1_to_l2:C(age_bucket)[T.25+]': -37.88868473835545, 'is_l1_to_l2:C(age_bucket)[T.<19]': 52.17756409460826, 'is_l1_to_l2:C(nationality)[T.singaporean]': -63.44764471932996}","{'Intercept': 9.698311486679214e-53, 'has_discourse_marker[T.True]': 0.10479412456054402, 'has_repetition[T.True]': 5.686625705591136e-08, 'C(gender)[T.male]': 3.3523985055734e-310, 'C(age_bucket)[T.25+]': 0.428878141806612, 'C(age_bucket)[T.<19]': 0.09289144620128621, 'C(nationality)[T.singaporean]': 9.122180677480478e-46, 'is_l1_to_l2': 0.7967664737524807, 'is_l1_to_l2:has_discourse_marker[T.True]': 0.693802238175991, 'is_l1_to_l2:C(gender)[T.male]': 6.024852091916925e-07, 'is_l1_to_l2:C(age_bucket)[T.25+]': 0.10827806849394363, 'is_l1_to_l2:C(age_bucket)[T.<19]': 0.6849703757097152, 'is_l1_to_l2:C(nationality)[T.singaporean]': 0.0012482728226808728}",462962.7278238734,463070.8701299664,30292,F0mseavg,cs_directionality
True,F0msemin ~ is_l1_to_l2 + has_discourse_marker + has_repetition + C(gender) + C(age_bucket) + C(nationality) + is_l1_to_l2:has_discourse_marker + is_l1_to_l2:C(gender) + is_l1_to_l2:C(age_bucket) + is_l1_to_l2:C(nationality),"{'Intercept': 229.64354131160073, 'has_discourse_marker[T.True]': 3.2212115222060005, 'has_repetition[T.True]': 29.653095582589263, 'C(gender)[T.male]': -341.01172059648263, 'C(age_bucket)[T.25+]': -3.4769549602433094, 'C(age_bucket)[T.<19]': 272.14978403749194, 'C(nationality)[T.singaporean]': 181.42326172866686, 'is_l1_to_l2': -26.199623731635544, 'is_l1_to_l2:has_discourse_marker[T.True]': 10.539003045632068, 'is_l1_to_l2:C(gender)[T.male]': 73.76513845611593, 'is_l1_to_l2:C(age_bucket)[T.25+]': -15.759528956058272, 'is_l1_to_l2:C(age_bucket)[T.<19]': 34.623769844855985, 'is_l1_to_l2:C(nationality)[T.singaporean]': -19.467696900984357}","{'Intercept': 4.151568754165437e-39, 'has_discourse_marker[T.True]': 0.7376924546367443, 'has_repetition[T.True]': 5.321366923769474e-07, 'C(gender)[T.male]': 8.171125674554645e-274, 'C(age_bucket)[T.25+]': 0.8647996314227142, 'C(age_bucket)[T.<19]': 0.006299626616389858, 'C(nationality)[T.singaporean]': 5.946698365717838e-27, 'is_l1_to_l2': 0.19754819310278027, 'is_l1_to_l2:has_discourse_marker[T.True]': 0.388454134710868, 'is_l1_to_l2:C(gender)[T.male]': 1.1334931906849404e-09, 'is_l1_to_l2:C(age_bucket)[T.25+]': 0.5063534715156155, 'is_l1_to_l2:C(age_bucket)[T.<19]': 0.7888508635086144, 'is_l1_to_l2:C(nationality)[T.singaporean]': 0.32450292328762487}",463279.33182482934,463387.47413092235,30292,F0msemin,cs_directionality
True,F0tiltmax ~ is_l1_to_l2 + has_discourse_marker + has_repetition + C(gender) + C(age_bucket) + C(nationality) + is_l1_to_l2:has_discourse_marker + is_l1_to_l2:C(gender) + is_l1_to_l2:C(age_bucket) + is_l1_to_l2:C(nationality),"{'Intercept': -121.53322805602377, 'has_discourse_marker[T.True]': -11.648947776390411, 'has_repetition[T.True]': 11.514351079492943, 'C(gender)[T.male]': 143.55325314104329, 'C(age_bucket)[T.25+]': 66.00537807116876, 'C(age_bucket)[T.<19]': 494.23730088060256, 'C(nationality)[T.singaporean]': 213.50342894829117, 'is_l1_to_l2': -17.399324807118692, 'is_l1_to_l2:has_discourse_marker[T.True]': 4.592733756648013, 'is_l1_to_l2:C(gender)[T.male]': 15.159760474992808, 'is_l1_to_l2:C(age_bucket)[T.25+]': -23.854920077132867, 'is_l1_to_l2:C(age_bucket)[T.<19]': 6.059882778878901, 'is_l1_to_l2:C(nationality)[T.singaporean]': 5.432178304087946}","{'Intercept': 7.090876522516762e-14, 'has_discourse_marker[T.True]': 0.19076906404351843, 'has_repetition[T.True]': 0.03540739995016147, 'C(gender)[T.male]': 4.298315327410069e-59, 'C(age_bucket)[T.25+]': 0.0004806652602987866, 'C(age_bucket)[T.<19]': 8.408594469979071e-08, 'C(nationality)[T.singaporean]': 1.8208203783573327e-42, 'is_l1_to_l2': 0.35527054047217166, 'is_l1_to_l2:has_discourse_marker[T.True]': 0.6847509965469603, 'is_l1_to_l2:C(gender)[T.male]': 0.1762926683457512, 'is_l1_to_l2:C(age_bucket)[T.25+]': 0.277220623916236, 'is_l1_to_l2:C(age_bucket)[T.<19]': 0.9596187868048589, 'is_l1_to_l2:C(nationality)[T.singaporean]': 0.7664820697496733}",458603.42837080866,458711.57067690167,30292,F0tiltmax,cs_directionality
True,F0tiltavg ~ is_l1_to_l2 + has_discourse_marker + has_repetition + C(gender) + C(age_bucket) + C(nationality) + is_l1_to_l2:has_discourse_marker + is_l1_to_l2:C(gender) + is_l1_to_l2:C(age_bucket) + is_l1_to_l2:C(nationality),"{'Intercept': -201.87622503009857, 'has_discourse_marker[T.True]': -18.61005544565843, 'has_repetition[T.True]': 12.308723333097687, 'C(gender)[T.male]': 84.4840226447468, 'C(age_bucket)[T.25+]': 107.82294128318969, 'C(age_bucket)[T.<19]': 593.7616443209648, 'C(nationality)[T.singaporean]': 199.54732947268366, 'is_l1_to_l2': -33.731725565983545, 'is_l1_to_l2:has_discourse_marker[T.True]': 19.59195816402057, 'is_l1_to_l2:C(gender)[T.male]': 47.9122807230946, 'is_l1_to_l2:C(age_bucket)[T.25+]': -28.54863452739984, 'is_l1_to_l2:C(age_bucket)[T.<19]': -2.8281399037271484, 'is_l1_to_l2:C(nationality)[T.singaporean]': 19.214352491312866}","{'Intercept': 4.429074465366122e-37, 'has_discourse_marker[T.True]': 0.03233412912264093, 'has_repetition[T.True]': 0.021291129181894294, 'C(gender)[T.male]': 1.3402236137212836e-22, 'C(age_bucket)[T.25+]': 5.24817388376687e-09, 'C(age_bucket)[T.<19]': 4.372686483368783e-11, 'C(nationality)[T.singaporean]': 4.699738535644656e-39, 'is_l1_to_l2': 0.06648505253192113, 'is_l1_to_l2:has_discourse_marker[T.True]': 0.07615695699417563, 'is_l1_to_l2:C(gender)[T.male]': 1.2098930901197662e-05, 'is_l1_to_l2:C(age_bucket)[T.25+]': 0.1829916988903668, 'is_l1_to_l2:C(age_bucket)[T.<19]': 0.9806952441665446, 'is_l1_to_l2:C(nationality)[T.singaporean]': 0.2820741808287762}",457165.8648508108,457274.0071569038,30292,F0tiltavg,cs_directionality
True,F0tiltstd ~ is_l1_to_l2 + has_discourse_marker + has_repetition + C(gender) + C(age_bucket) + C(nationality) + is_l1_to_l2:has_discourse_marker + is_l1_to_l2:C(gender) + is_l1_to_l2:C(age_bucket) + is_l1_to_l2:C(nationality),"{'Intercept': 74.5173172781198, 'has_discourse_marker[T.True]': 2.182234678221925, 'has_repetition[T.True]': -3.700502008545074, 'C(gender)[T.male]': 72.30364820962309, 'C(age_bucket)[T.25+]': -45.459613467020404, 'C(age_bucket)[T.<19]': -79.04000519534316, 'C(nationality)[T.singaporean]': 4.61036475831834, 'is_l1_to_l2': 19.946216463883474, 'is_l1_to_l2:has_discourse_marker[T.True]': -10.697624847295948, 'is_l1_to_l2:C(gender)[T.male]': -42.59734845510907, 'is_l1_to_l2:C(age_bucket)[T.25+]': 7.874658097132098, 'is_l1_to_l2:C(age_bucket)[T.<19]': 3.183882596531953, 'is_l1_to_l2:C(nationality)[T.singaporean]': -14.830207933873115}","{'Intercept': 2.2156585952034728e-38, 'has_discourse_marker[T.True]': 0.4887147263593591, 'has_repetition[T.True]': 0.05615167889386569, 'C(gender)[T.male]': 3.4849281643536936e-117, 'C(age_bucket)[T.25+]': 1.1161879696850496e-11, 'C(age_bucket)[T.<19]': 0.015475101102986128, 'C(nationality)[T.singaporean]': 0.40406188603534, 'is_l1_to_l2': 0.0027588404961286397, 'is_l1_to_l2:has_discourse_marker[T.True]': 0.007558329406843971, 'is_l1_to_l2:C(gender)[T.male]': 7.88107739888413e-27, 'is_l1_to_l2:C(age_bucket)[T.25+]': 0.3109400883274503, 'is_l1_to_l2:C(age_bucket)[T.<19]': 0.9400969897567918, 'is_l1_to_l2:C(nationality)[T.singaporean]': 0.02200742858873151}",395689.0742424756,395797.2165485686,30292,F0tiltstd,cs_directionality
True,F0msestd ~ is_l1_to_l2 + has_discourse_marker + has_repetition + C(gender) + C(age_bucket) + C(nationality) + is_l1_to_l2:has_discourse_marker + is_l1_to_l2:C(gender) + is_l1_to_l2:C(age_bucket) + is_l1_to_l2:C(nationality),"{'Intercept': 40.80557643451408, 'has_discourse_marker[T.True]': 13.88909811064951, 'has_repetition[T.True]': 2.984707166300508, 'C(gender)[T.male]': -23.740643345377123, 'C(age_bucket)[T.25+]': -14.85868944242841, 'C(age_bucket)[T.<19]': -111.81598187819151, 'C(nationality)[T.singaporean]': 58.29993415577901, 'is_l1_to_l2': 29.26140364874311, 'is_l1_to_l2:has_discourse_marker[T.True]': -6.910768563873579, 'is_l1_to_l2:C(gender)[T.male]': -11.365909664390301, 'is_l1_to_l2:C(age_bucket)[T.25+]': -20.844455880334404, 'is_l1_to_l2:C(age_bucket)[T.<19]': 19.944096124688148, 'is_l1_to_l2:C(nationality)[T.singaporean]': -43.338393479054666}","{'Intercept': 9.326433867148839e-14, 'has_discourse_marker[T.True]': 3.7864194825626057e-06, 'has_repetition[T.True]': 0.10602942308665908, 'C(gender)[T.male]': 1.7367062426954277e-15, 'C(age_bucket)[T.25+]': 0.019825026374311133, 'C(age_bucket)[T.<19]': 0.0003262973380807311, 'C(nationality)[T.singaporean]': 1.9685784254441755e-28, 'is_l1_to_l2': 4.082227508429819e-06, 'is_l1_to_l2:has_discourse_marker[T.True]': 0.07019553953144954, 'is_l1_to_l2:C(gender)[T.male]': 0.0026571818750989857, 'is_l1_to_l2:C(age_bucket)[T.25+]': 0.0048925541966625815, 'is_l1_to_l2:C(age_bucket)[T.<19]': 0.6213678933231939, 'is_l1_to_l2:C(nationality)[T.singaporean]': 2.2217805980059783e-12}",392776.81042599655,392884.95273208956,30292,F0msestd,cs_directionality
True,"Q(""1F0max"") ~ is_l1_to_l2 + has_discourse_marker + has_repetition + C(gender) + C(age_bucket) + C(nationality) + is_l1_to_l2:has_discourse_marker + is_l1_to_l2:C(gender) + is_l1_to_l2:C(age_bucket) + is_l1_to_l2:C(nationality)","{'Intercept': 245.60971136151284, 'has_discourse_marker[T.True]': -1.6849029572722682, 'has_repetition[T.True]': -0.9707388865884314, 'C(gender)[T.male]': -102.07425786257842, 'C(age_bucket)[T.25+]': -12.277403061230924, 'C(age_bucket)[T.<19]': -55.64954266926181, 'C(nationality)[T.singaporean]': 10.270228618501081, 'is_l1_to_l2': -3.7230023815478788, 'is_l1_to_l2:has_discourse_marker[T.True]': 0.5711782949219337, 'is_l1_to_l2:C(gender)[T.male]': 3.754326395702824, 'is_l1_to_l2:C(age_bucket)[T.25+]': 5.049440294564457, 'is_l1_to_l2:C(age_bucket)[T.<19]': 4.578665891150635, 'is_l1_to_l2:C(nationality)[T.singaporean]': -1.3023522062646355}","{'Intercept': 0.0, 'has_discourse_marker[T.True]': 0.12398070748340705, 'has_repetition[T.True]': 0.14937499141364796, 'C(gender)[T.male]': 0.0, 'C(age_bucket)[T.25+]': 1.30353589908209e-07, 'C(age_bucket)[T.<19]': 9.366175336769676e-07, 'C(nationality)[T.singaporean]': 8.916495363504774e-08, 'is_l1_to_l2': 0.10785581993350465, 'is_l1_to_l2:has_discourse_marker[T.True]': 0.6814806669523199, 'is_l1_to_l2:C(gender)[T.male]': 0.006485078674803499, 'is_l1_to_l2:C(age_bucket)[T.25+]': 0.061532940903937135, 'is_l1_to_l2:C(age_bucket)[T.<19]': 0.7558126220959572, 'is_l1_to_l2:C(nationality)[T.singaporean]': 0.562732410656651}",331653.13878850645,331761.28109459946,30292,1F0max,cs_directionality
True,F0max ~ is_l1_to_l2 + has_discourse_marker + has_repetition + C(gender) + C(age_bucket) + C(nationality) + is_l1_to_l2:has_discourse_marker + is_l1_to_l2:C(gender) + is_l1_to_l2:C(age_bucket) + is_l1_to_l2:C(nationality),"{'Intercept': 246.7868119316866, 'has_discourse_marker[T.True]': -1.9192304951962054, 'has_repetition[T.True]': -0.3831141346655667, 'C(gender)[T.male]': -88.37267438987557, 'C(age_bucket)[T.25+]': -12.872545693278056, 'C(age_bucket)[T.<19]': -71.61850681986846, 'C(nationality)[T.singaporean]': 24.957544372836388, 'is_l1_to_l2': 1.8188589771570682, 'is_l1_to_l2:has_discourse_marker[T.True]': 1.3882318284039654, 'is_l1_to_l2:C(gender)[T.male]': -3.4183943782253587, 'is_l1_to_l2:C(age_bucket)[T.25+]': 1.2814222775641224, 'is_l1_to_l2:C(age_bucket)[T.<19]': 3.3097571574133866, 'is_l1_to_l2:C(nationality)[T.singaporean]': -6.255930582137385}","{'Intercept': 0.0, 'has_discourse_marker[T.True]': 0.09253859815451973, 'has_repetition[T.True]': 0.5848860313987533, 'C(gender)[T.male]': 0.0, 'C(age_bucket)[T.25+]': 1.0786585389027859e-07, 'C(age_bucket)[T.<19]': 1.3704539354057102e-09, 'C(nationality)[T.singaporean]': 1.197470435709342e-35, 'is_l1_to_l2': 0.4507625844580807, 'is_l1_to_l2:has_discourse_marker[T.True]': 0.3382225245933773, 'is_l1_to_l2:C(gender)[T.male]': 0.017333542436541734, 'is_l1_to_l2:C(age_bucket)[T.25+]': 0.6487398956060846, 'is_l1_to_l2:C(age_bucket)[T.<19]': 0.8291338979526977, 'is_l1_to_l2:C(nationality)[T.singaporean]': 0.007609028125531354}",334124.9483735004,334233.0906795934,30292,F0max,cs_directionality
