success,formula,params,pvalues,aic,bic,n,feature,model_type
True,F0msemax ~ C(condition) + has_discourse_marker + has_repetition + C(gender) + C(age_bucket) + C(nationality) + C(condition):C(gender) + C(condition):C(age_bucket) + C(condition):C(nationality),"{'Intercept': 342.69092137909644, 'C(condition)[T.monolingual_EN]': -53.156723411854756, 'C(condition)[T.monolingual_ZH]': 57.718862556463165, 'has_discourse_marker[T.True]': 32.82732974406627, 'has_repetition[T.True]': 49.07361878000398, 'C(gender)[T.male]': -369.28849480512054, 'C(age_bucket)[T.25+]': -78.70272539679219, 'C(age_bucket)[T.<19]': 67.28223901933008, 'C(nationality)[T.singaporean]': 237.70038166911678, 'C(condition)[T.monolingual_EN]:C(gender)[T.male]': -94.28368592533499, 'C(condition)[T.monolingual_ZH]:C(gender)[T.male]': 67.14620776855087, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+]': 111.6803275447922, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+]': -93.9476579954211, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19]': -42.79631902874038, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19]': 203.13307267610014, 'C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean]': 55.410054552000844, 'C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean]': -218.5541207846037}","{'Intercept': 4.723515945527876e-295, 'C(condition)[T.monolingual_EN]': 0.0822558941308744, 'C(condition)[T.monolingual_ZH]': 9.752903392009458e-05, 'has_discourse_marker[T.True]': 2.386910818183247e-12, 'has_repetition[T.True]': 2.745876206394149e-23, 'C(gender)[T.male]': 0.0, 'C(age_bucket)[T.25+]': 1.589899692628553e-13, 'C(age_bucket)[T.<19]': 0.3030593803856572, 'C(nationality)[T.singaporean]': 1.0663637270260738e-154, 'C(condition)[T.monolingual_EN]:C(gender)[T.male]': 2.8476102101919903e-15, 'C(condition)[T.monolingual_ZH]:C(gender)[T.male]': 8.292483219054859e-09, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+]': 0.002088551231505424, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+]': 1.196020057835498e-06, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19]': 0.5914712435187695, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19]': 0.04094101943956456, 'C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean]': 0.07212320555907963, 'C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean]': 1.8625768477892398e-44}",803037.6714584659,803188.3764616131,52313,F0msemax,all_condition
True,F0tiltmin ~ C(condition) + has_discourse_marker + has_repetition + C(gender) + C(age_bucket) + C(nationality) + C(condition):C(gender) + C(condition):C(age_bucket) + C(condition):C(nationality),"{'Intercept': -302.91009723726904, 'C(condition)[T.monolingual_EN]': 135.7544109764003, 'C(condition)[T.monolingual_ZH]': -133.50507366849115, 'has_discourse_marker[T.True]': -6.094751320112629, 'has_repetition[T.True]': -3.35474757841685, 'C(gender)[T.male]': 63.850816367171, 'C(age_bucket)[T.25+]': 100.70916792763302, 'C(age_bucket)[T.<19]': 698.3376908782084, 'C(nationality)[T.singaporean]': 193.64058016868717, 'C(condition)[T.monolingual_EN]:C(gender)[T.male]': -246.18648007925697, 'C(condition)[T.monolingual_ZH]:C(gender)[T.male]': 48.33795194637532, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+]': 4.18668372629816, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+]': 119.02928948125349, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19]': -50.846113588091576, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19]': 21.85271147080051, 'C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean]': -162.18381339709526, 'C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean]': 106.42375976765103}","{'Intercept': 3.15437184627406e-226, 'C(condition)[T.monolingual_EN]': 1.162723585067498e-05, 'C(condition)[T.monolingual_ZH]': 5.464552818985413e-19, 'has_discourse_marker[T.True]': 0.19839041143122116, 'has_repetition[T.True]': 0.50171344670833, 'C(gender)[T.male]': 1.5241722215725012e-25, 'C(age_bucket)[T.25+]': 1.0759752101550655e-20, 'C(age_bucket)[T.<19]': 4.768102541250763e-26, 'C(nationality)[T.singaporean]': 3.7546872677957703e-101, 'C(condition)[T.monolingual_EN]:C(gender)[T.male]': 5.694386709741545e-92, 'C(condition)[T.monolingual_ZH]:C(gender)[T.male]': 4.1502469198384284e-05, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+]': 0.9092476692984417, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+]': 1.2112928443513266e-09, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19]': 0.5286805083802054, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19]': 0.8279941234207385, 'C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean]': 1.9920764394870834e-07, 'C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean]': 1.6467271484273553e-11}",804298.0097651096,804448.7147682569,52313,F0tiltmin,all_condition
True,F0mseavg ~ C(condition) + has_discourse_marker + has_repetition + C(gender) + C(age_bucket) + C(nationality) + C(condition):C(gender) + C(condition):C(age_bucket) + C(condition):C(nationality),"{'Intercept': 278.42916363404026, 'C(condition)[T.monolingual_EN]': -41.16060564200136, 'C(condition)[T.monolingual_ZH]': -26.076727650459677, 'has_discourse_marker[T.True]': 12.396060553492722, 'has_repetition[T.True]': 33.59787208224311, 'C(gender)[T.male]': -324.14438150603263, 'C(age_bucket)[T.25+]': -47.20464213859267, 'C(age_bucket)[T.<19]': 199.00224534493282, 'C(nationality)[T.singaporean]': 194.51250104113004, 'C(condition)[T.monolingual_EN]:C(gender)[T.male]': -53.760920822298864, 'C(condition)[T.monolingual_ZH]:C(gender)[T.male]': 85.96116567884907, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+]': 64.71708503023272, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+]': -13.89319287292993, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19]': -30.326854547082718, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19]': 157.5942773916902, 'C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean]': 17.31495057181059, 'C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean]': -108.67636111272662}","{'Intercept': 6.29396023874698e-250, 'C(condition)[T.monolingual_EN]': 0.12807901043326017, 'C(condition)[T.monolingual_ZH]': 0.04647894434227763, 'has_discourse_marker[T.True]': 0.0027529387302532393, 'has_repetition[T.True]': 1.3734944218561768e-14, 'C(gender)[T.male]': 0.0, 'C(age_bucket)[T.25+]': 5.553600579792352e-07, 'C(age_bucket)[T.<19]': 0.0005716811500439467, 'C(nationality)[T.singaporean]': 6.692455980153337e-133, 'C(condition)[T.monolingual_EN]:C(gender)[T.male]': 3.515510151428844e-07, 'C(condition)[T.monolingual_ZH]:C(gender)[T.male]': 7.348649397371724e-17, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+]': 0.04372091825043802, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+]': 0.4166446835870389, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19]': 0.6671144648218433, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19]': 0.07289801217987012, 'C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean]': 0.5250843632828439, 'C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean]': 3.526825908387915e-15}",790167.2428839867,790317.9478871339,52313,F0mseavg,all_condition
True,F0msemin ~ C(condition) + has_discourse_marker + has_repetition + C(gender) + C(age_bucket) + C(nationality) + C(condition):C(gender) + C(condition):C(age_bucket) + C(condition):C(nationality),"{'Intercept': 221.31976933628025, 'C(condition)[T.monolingual_EN]': -16.839470453742877, 'C(condition)[T.monolingual_ZH]': -117.99036024027312, 'has_discourse_marker[T.True]': 1.5921287839609182, 'has_repetition[T.True]': 27.756221991151932, 'C(gender)[T.male]': -295.2503380647004, 'C(age_bucket)[T.25+]': -18.319973824703908, 'C(age_bucket)[T.<19]': 295.9444548158862, 'C(nationality)[T.singaporean]': 166.1598386539835, 'C(condition)[T.monolingual_EN]:C(gender)[T.male]': -44.57026651772698, 'C(condition)[T.monolingual_ZH]:C(gender)[T.male]': 115.29528401601127, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+]': 22.583312619222024, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+]': 67.67744177124, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19]': -50.38254666612297, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19]': 134.73230649880256, 'C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean]': 4.665029841771063, 'C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean]': -3.122187499036862}","{'Intercept': 8.254452895128856e-160, 'C(condition)[T.monolingual_EN]': 0.5329154356421137, 'C(condition)[T.monolingual_ZH]': 1.88264914221448e-19, 'has_discourse_marker[T.True]': 0.7001020792007361, 'has_repetition[T.True]': 1.8786070367732067e-10, 'C(gender)[T.male]': 0.0, 'C(age_bucket)[T.25+]': 0.051634751767360786, 'C(age_bucket)[T.<19]': 2.8882065784113327e-07, 'C(nationality)[T.singaporean]': 5.779797858097083e-98, 'C(condition)[T.monolingual_EN]:C(gender)[T.male]': 2.3406371596240702e-05, 'C(condition)[T.monolingual_ZH]:C(gender)[T.male]': 3.9581326735771183e-29, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+]': 0.48087665181296424, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+]': 7.408931255746022e-05, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19]': 0.4741807109313194, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19]': 0.12459959636996931, 'C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean]': 0.8638312461508584, 'C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean]': 0.8207756724734094}",790000.1068954524,790150.8118985996,52313,F0msemin,all_condition
True,F0tiltmax ~ C(condition) + has_discourse_marker + has_repetition + C(gender) + C(age_bucket) + C(nationality) + C(condition):C(gender) + C(condition):C(age_bucket) + C(condition):C(nationality),"{'Intercept': -147.9984785490633, 'C(condition)[T.monolingual_EN]': 53.408403330628026, 'C(condition)[T.monolingual_ZH]': 53.26227994464117, 'has_discourse_marker[T.True]': 16.647885350046902, 'has_repetition[T.True]': 22.518962585933462, 'C(gender)[T.male]': 154.16418415486473, 'C(age_bucket)[T.25+]': 47.00138923358219, 'C(age_bucket)[T.<19]': 490.278538224869, 'C(nationality)[T.singaporean]': 214.7728979424782, 'C(condition)[T.monolingual_EN]:C(gender)[T.male]': -158.65675013767952, 'C(condition)[T.monolingual_ZH]:C(gender)[T.male]': 6.159500136566681, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+]': 19.489735211627245, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+]': -55.06582371398843, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19]': -82.95564165780313, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19]': 79.57139196870227, 'C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean]': -18.912943223186343, 'C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean]': -112.46421565570765}","{'Intercept': 3.3823952171960717e-75, 'C(condition)[T.monolingual_EN]': 0.04434406237638552, 'C(condition)[T.monolingual_ZH]': 3.454511204643512e-05, 'has_discourse_marker[T.True]': 4.225086306068952e-05, 'has_repetition[T.True]': 1.473696563052268e-07, 'C(gender)[T.male]': 1.207388791649446e-188, 'C(age_bucket)[T.25+]': 3.8500001333284394e-07, 'C(age_bucket)[T.<19]': 5.613777662295133e-18, 'C(nationality)[T.singaporean]': 2.9398010260528764e-167, 'C(condition)[T.monolingual_EN]:C(gender)[T.male]': 8.529202327442322e-53, 'C(condition)[T.monolingual_ZH]:C(gender)[T.male]': 0.5426012225628769, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+]': 0.5362240378300417, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+]': 0.0010438355698428742, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19]': 0.2308578963033317, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19]': 0.35641887598502797, 'C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean]': 0.4795994240746019, 'C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean]': 1.08998171099067e-16}",788260.4964294863,788411.2014326336,52313,F0tiltmax,all_condition
True,F0tiltavg ~ C(condition) + has_discourse_marker + has_repetition + C(gender) + C(age_bucket) + C(nationality) + C(condition):C(gender) + C(condition):C(age_bucket) + C(condition):C(nationality),"{'Intercept': -225.0737585306409, 'C(condition)[T.monolingual_EN]': 85.35591517565115, 'C(condition)[T.monolingual_ZH]': -33.59829326744477, 'has_discourse_marker[T.True]': 3.607526713357009, 'has_repetition[T.True]': 9.715102733222336, 'C(gender)[T.male]': 115.00876664355577, 'C(age_bucket)[T.25+]': 84.77989922527745, 'C(age_bucket)[T.<19]': 591.5150330183932, 'C(nationality)[T.singaporean]': 207.79418358537768, 'C(condition)[T.monolingual_EN]:C(gender)[T.male]': -176.90714461800675, 'C(condition)[T.monolingual_ZH]:C(gender)[T.male]': 23.714433831403415, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+]': -2.666129773579218, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+]': 24.88160954673196, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19]': -53.77126436234271, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19]': 51.863903374027885, 'C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean]': -94.68265857646855, 'C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean]': -11.647926353299107}","{'Intercept': 3.007580367335783e-188, 'C(condition)[T.monolingual_EN]': 0.000728898209658237, 'C(condition)[T.monolingual_ZH]': 0.006022960986863095, 'has_discourse_marker[T.True]': 0.3508493272013209, 'has_repetition[T.True]': 0.017121504267312425, 'C(gender)[T.male]': 3.512347173022501e-117, 'C(age_bucket)[T.25+]': 6.377796050458089e-22, 'C(age_bucket)[T.<19]': 6.157368167808754e-28, 'C(nationality)[T.singaporean]': 6.177899531813572e-173, 'C(condition)[T.monolingual_EN]:C(gender)[T.male]': 8.267045650457841e-72, 'C(condition)[T.monolingual_ZH]:C(gender)[T.male]': 0.013720698338092053, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+]': 0.9291166590076181, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+]': 0.1193603167706794, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19]': 0.4142151040493167, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19]': 0.527425231320537, 'C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean]': 0.00019878328295687775, 'C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean]': 0.3662853054326478}",783023.690247768,783174.3952509152,52313,F0tiltavg,all_condition
True,F0tiltstd ~ C(condition) + has_discourse_marker + has_repetition + C(gender) + C(age_bucket) + C(nationality) + C(condition):C(gender) + C(condition):C(age_bucket) + C(condition):C(nationality),"{'Intercept': 75.64689566543913, 'C(condition)[T.monolingual_EN]': -43.782208719822684, 'C(condition)[T.monolingual_ZH]': 93.67030343047874, 'has_discourse_marker[T.True]': 7.51794215515853, 'has_repetition[T.True]': 7.154458718559192, 'C(gender)[T.male]': 46.14655721909243, 'C(age_bucket)[T.25+]': -38.44700289800176, 'C(age_bucket)[T.<19]': -82.98198837164198, 'C(nationality)[T.singaporean]': -2.4395353568112617, 'C(condition)[T.monolingual_EN]:C(gender)[T.male]': 42.76439131486279, 'C(condition)[T.monolingual_ZH]:C(gender)[T.male]': -24.56190609500087, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+]': 15.444343766575118, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+]': -83.53121246108816, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19]': -7.421740515764752, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19]': 17.65958076035694, 'C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean]': 62.78675616237665, 'C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean]': -103.50530403391527}","{'Intercept': 1.731724327419533e-128, 'C(condition)[T.monolingual_EN]': 2.2034567211811092e-05, 'C(condition)[T.monolingual_ZH]': 3.472279540138002e-78, 'has_discourse_marker[T.True]': 1.9342303053169828e-06, 'has_repetition[T.True]': 1.7171281402485883e-05, 'C(gender)[T.male]': 3.338418060157865e-113, 'C(age_bucket)[T.25+]': 1.1976923065329515e-26, 'C(age_bucket)[T.<19]': 0.00016606248917789112, 'C(nationality)[T.singaporean]': 0.41854330885759383, 'C(condition)[T.monolingual_EN]:C(gender)[T.male]': 2.4684660494877908e-26, 'C(condition)[T.monolingual_ZH]:C(gender)[T.male]': 4.1226112955299796e-10, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+]': 0.2070262851119701, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+]': 1.7907897747285734e-37, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19]': 0.782583796658575, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19]': 0.5982733558339748, 'C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean]': 1.5351156716318784e-09, 'C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean]': 1.0014278737379785e-85}",689327.9624925358,689478.6674956831,52313,F0tiltstd,all_condition
True,F0msestd ~ C(condition) + has_discourse_marker + has_repetition + C(gender) + C(age_bucket) + C(nationality) + C(condition):C(gender) + C(condition):C(age_bucket) + C(condition):C(nationality),"{'Intercept': 58.24771669399593, 'C(condition)[T.monolingual_EN]': -21.500716817422166, 'C(condition)[T.monolingual_ZH]': 90.18689146004846, 'has_discourse_marker[T.True]': 12.804254383564777, 'has_repetition[T.True]': 7.486575166299164, 'C(gender)[T.male]': -30.469994420823138, 'C(age_bucket)[T.25+]': -30.35420722580167, 'C(age_bucket)[T.<19]': -102.14621555245978, 'C(nationality)[T.singaporean]': 29.967131802786813, 'C(condition)[T.monolingual_EN]:C(gender)[T.male]': -16.772505918918853, 'C(condition)[T.monolingual_ZH]:C(gender)[T.male]': -27.795467998765492, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+]': 43.238782493071305, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+]': -81.59138324047716, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19]': 11.81590436947074, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19]': 26.850771699438575, 'C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean]': 19.024697356575388, 'C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean]': -105.85219879124365}","{'Intercept': 4.2789194705025147e-94, 'C(condition)[T.monolingual_EN]': 0.021015048107626777, 'C(condition)[T.monolingual_ZH]': 1.3854567421766278e-88, 'has_discourse_marker[T.True]': 2.8177769273754364e-19, 'has_repetition[T.True]': 6.313847354901464e-07, 'C(gender)[T.male]': 1.5374159856081196e-61, 'C(age_bucket)[T.25+]': 9.359417971373743e-21, 'C(age_bucket)[T.<19]': 2.852110932621903e-07, 'C(nationality)[T.singaporean]': 3.9040555508223644e-28, 'C(condition)[T.monolingual_EN]:C(gender)[T.male]': 3.958026509132317e-06, 'C(condition)[T.monolingual_ZH]:C(gender)[T.male]': 4.849294906865344e-15, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+]': 9.164473888788777e-05, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+]': 1.538557938749225e-43, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19]': 0.626596961742919, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19]': 0.37499798967927156, 'C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean]': 0.042637830022724504, 'C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean]': 2.7033102114077008e-109}",678654.2095678671,678804.9145710143,52313,F0msestd,all_condition
True,"Q(""1F0max"") ~ C(condition) + has_discourse_marker + has_repetition + C(gender) + C(age_bucket) + C(nationality) + C(condition):C(gender) + C(condition):C(age_bucket) + C(condition):C(nationality)","{'Intercept': 242.16276262341086, 'C(condition)[T.monolingual_EN]': 4.070499933791247, 'C(condition)[T.monolingual_ZH]': 1.142137827796347, 'has_discourse_marker[T.True]': -0.9444504438482209, 'has_repetition[T.True]': 1.0168915190131531, 'C(gender)[T.male]': -99.77915213166602, 'C(age_bucket)[T.25+]': -8.814984400273795, 'C(age_bucket)[T.<19]': -53.40235757744494, 'C(nationality)[T.singaporean]': 9.741298481004689, 'C(condition)[T.monolingual_EN]:C(gender)[T.male]': 1.3424065879978397, 'C(condition)[T.monolingual_ZH]:C(gender)[T.male]': 8.81684141742209, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+]': -1.682696688083538, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+]': -7.8490204944627315, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19]': 4.392676246614955, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19]': 8.868276255164847, 'C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean]': -4.978210734670279, 'C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean]': -10.121223708196066}","{'Intercept': 0.0, 'C(condition)[T.monolingual_EN]': 0.23670591104694091, 'C(condition)[T.monolingual_ZH]': 0.49291117066251666, 'has_discourse_marker[T.True]': 0.07286421076834192, 'has_repetition[T.True]': 0.0668546774020852, 'C(gender)[T.male]': 0.0, 'C(age_bucket)[T.25+]': 1.98993030293738e-13, 'C(age_bucket)[T.<19]': 3.6792845175626135e-13, 'C(nationality)[T.singaporean]': 3.537841030169232e-22, 'C(condition)[T.monolingual_EN]:C(gender)[T.male]': 0.31724232870906527, 'C(condition)[T.monolingual_ZH]:C(gender)[T.male]': 1.722721502510075e-11, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+]': 0.6801107858393904, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+]': 0.0003086488826759014, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19]': 0.6242422752233048, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19]': 0.427456280019774, 'C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean]': 0.15080855663146786, 'C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean]': 8.19883107388401e-09}",574413.4382554026,574564.1432585499,52313,1F0max,all_condition
True,F0max ~ C(condition) + has_discourse_marker + has_repetition + C(gender) + C(age_bucket) + C(nationality) + C(condition):C(gender) + C(condition):C(age_bucket) + C(condition):C(nationality),"{'Intercept': 246.9858369481597, 'C(condition)[T.monolingual_EN]': 2.2088816310870967, 'C(condition)[T.monolingual_ZH]': 5.255505325371967, 'has_discourse_marker[T.True]': -1.2708570473397383, 'has_repetition[T.True]': 1.7174757614918563, 'C(gender)[T.male]': -90.51726925233216, 'C(age_bucket)[T.25+]': -11.851036766374976, 'C(age_bucket)[T.<19]': -70.1362045250189, 'C(nationality)[T.singaporean]': 21.4918507912662, 'C(condition)[T.monolingual_EN]:C(gender)[T.male]': 3.4966933173130283, 'C(condition)[T.monolingual_ZH]:C(gender)[T.male]': -1.9865039019986352, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+]': 2.6541903736704966, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+]': -9.03878770468072, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19]': 10.793709673222967, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19]': 6.161220731115221, 'C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean]': -9.10342964234131, 'C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean]': -11.406471679984131}","{'Intercept': 0.0, 'C(condition)[T.monolingual_EN]': 0.5323609817064613, 'C(condition)[T.monolingual_ZH]': 0.002154599585645577, 'has_discourse_marker[T.True]': 0.018923985366217744, 'has_repetition[T.True]': 0.002613846322262382, 'C(gender)[T.male]': 0.0, 'C(age_bucket)[T.25+]': 7.495857564217128e-22, 'C(age_bucket)[T.<19]': 1.70444818678961e-20, 'C(nationality)[T.singaporean]': 1.4376757817081383e-95, 'C(condition)[T.monolingual_EN]:C(gender)[T.male]': 0.011300042799021021, 'C(condition)[T.monolingual_ZH]:C(gender)[T.male]': 0.14039021479043998, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+]': 0.5271067690660949, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+]': 5.339909690451029e-05, 'C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19]': 0.24181282401292303, 'C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19]': 0.591874289651703, 'C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean]': 0.010627405654315534, 'C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean]': 2.666530085855469e-10}",577338.1116861969,577488.8166893441,52313,F0max,all_condition
